Clip,Escena,Duracion_s,Plano,Recurso,Emocion,Prompt_Imagen_Final,Prompt_Video_Final,Prompt_Negativo
107,29,8,plano medio,reconstrucción,ladrillos,"Gran Muralla China, antigua China imperial historica. Obreros pasando millones de ladrillos en cadena humana hacia lo alto del muro, ultrarrealista. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Travelling siguiendo la cadena humana que pasa ladrillos hacia arriba, ritmo de trabajo, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
108,29,8,detalle,detalle arqueológico,intriga,"Gran Muralla China, antigua China imperial historica. Primer plano de un cubo de argamasa blanca espesa junto a ladrillos grises, herramientas antiguas, ultrarrealista. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Macro de la argamasa siendo revuelta, textura espesa, anticipación del secreto, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
109,30,8,detalle,detalle arqueológico,revelación,"Gran Muralla China, antigua China imperial historica. Cuencos de arroz glutinoso cocido junto a la cal y el agua, manos preparando la mezcla, ultrarrealista. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Macro del arroz glutinoso mezclándose con la cal hasta volverse argamasa, textura pegajosa, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
110,30,8,texto en pantalla,animación,asombro,"Gran Muralla China, antigua China imperial historica. Texto ""El secreto: arroz glutinoso"" sobre un fondo de ladrillos de la muralla, cinematográfico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. El texto aparece con un sutil destello sobre los ladrillos, sorpresa, elegante. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
111,30,8,primer plano,reconstrucción,aplicación,"Gran Muralla China, antigua China imperial historica. Manos de un obrero aplicando la argamasa blanca y asentando un ladrillo en la muralla, ultrarrealista. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Primer plano de la llana extendiendo la mezcla y el ladrillo encajando, precisión, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
112,30,8,detalle,detalle arqueológico,durabilidad,"Gran Muralla China, antigua China imperial historica. Juntas de argamasa intactas tras siglos, sin maleza, piedra firme, ultrarrealista. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Macro deslizándose sobre las juntas perfectamente conservadas, testimonio del tiempo, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
113,30,8,plano general,reconstrucción,permanencia,"Gran Muralla China, antigua China imperial historica. Tramo de muralla Ming intacto y firme en la actualidad sobre las montañas, ultrarrealista, 8K. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Vuelo de dron sobre el tramo Ming perfectamente conservado, solidez milenaria, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
114,31,8,travelling,reconstrucción,escala militar,"Gran Muralla China, antigua China imperial historica. Camino ancho en la cima de la muralla con soldados chinos Ming marchando en formación, ultrarrealista, épico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Travelling sobre la cima siguiendo a los soldados chinos que marchan en formación, almenas a los lados, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
115,31,8,plano medio,reconstrucción,defensa,"Gran Muralla China, antigua China imperial historica. Soldados chinos arqueros chinos parapetados tras las almenas apuntando hacia el exterior, ultrarrealista, tenso. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Plano medio de arqueros chinos tensando arcos tras las almenas, viento y tensión, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
116,31,8,detalle,detalle arqueológico,troneras,"Gran Muralla China, antigua China imperial historica. Detalle de una tronera estrecha en la muralla con una flecha lista y, al lado, una boca de cañón de bronce chino antiguo, ultrarrealista. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Macro de la tronera mientras una flecha sale disparada, precisión, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
117,31,8,contrapicado,reconstrucción,poderío,"Gran Muralla China, antigua China imperial historica. Cañón de bronce chino antiguo Ming asomando por una tronera disparando con humo y fuego, ultrarrealista, dramático. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Contrapicado del cañón de bronce chino antiguo disparando, retroceso y humo, impacto, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
118,32,8,plano general,reconstrucción,vigilancia,"Gran Muralla China, antigua China imperial historica. Torres de vigilancia Ming distribuidas a lo largo de la muralla sobre las montañas, ultrarrealista, épico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Vuelo de dron pasando junto a las torres a lo largo del muro, orden y ritmo, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
119,32,8,interior,reconstrucción,vida militar,"Gran Muralla China, antigua China imperial historica. Interior de una torre con soldados chinos descansando, armas apiladas y sacos de grano, luz de antorcha, ultrarrealista. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Travelling por el interior de la torre mostrando la vida de la guarnición, íntimo, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
120,32,8,plano medio nocturno,reconstrucción,vigilia,"Gran Muralla China, antigua China imperial historica. Vigía en lo alto de una torre escudriñando la oscuridad del norte con una antorcha, ultrarrealista, tenso. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Plano medio del vigía atento en la noche, viento y antorcha, alerta constante, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
121,32,8,vista aérea nocturna,reconstrucción,frontera viva,"Gran Muralla China, antigua China imperial historica. La muralla de noche con torres iluminadas por hogueras a lo largo de toda su extensión, ultrarrealista, cinematográfico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Vuelo nocturno sobre la muralla con las torres encendidas hasta el horizonte, frontera viva, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
122,33,8,time-lapse,animación / reconstrucción,escala temporal,"Gran Muralla China, antigua China imperial historica. La muralla Ming creciendo tramo a tramo a lo largo de generaciones, estaciones cambiando, ultrarrealista. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Time-lapse de la muralla extendiéndose por las montañas a lo largo de dos siglos, crecimiento imparable, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
123,33,8,vista aérea,mapa / animación,longitud,"Gran Muralla China, antigua China imperial historica. Mapa donde la sección Ming se ilumina extendiéndose más de ocho mil kilómetros por el norte de China, cinematográfico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. La línea Ming se dibuja recorriendo el mapa mostrando su enorme longitud, escala, elegante. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
124,33,8,texto en pantalla,animación,dato,"Gran Muralla China, antigua China imperial historica. Texto ""Más de 8.000 km · 2 siglos de obra"" sobre la muralla al fondo, cinematográfico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. El texto aparece con destello sobre la muralla, dato impactante, elegante. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
125,34,8,vista aérea,reconstrucción,asombro absoluto,"Gran Muralla China, antigua China imperial historica. Gran Muralla Ming ondulando sobre crestas montañosas afiladas hasta el horizonte, torres a lo largo, cielo dramático, ultrarrealista, 8K. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Vuelo de dron espectacular siguiendo la muralla sobre crestas afiladas, nubes moviéndose, escala monumental, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
126,34,8,plano general,reconstrucción,desafío,"Gran Muralla China, antigua China imperial historica. Tramo de muralla descolgándose por un barranco vertiginoso, pendiente extrema, ultrarrealista, imponente. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. La cámara desciende junto al muro por la pendiente abrupta, vértigo y grandeza, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
127,34,8,plano general,reconstrucción,bestia dormida,"Gran Muralla China, antigua China imperial historica. La muralla aferrada al lomo de las montañas como una serpiente de piedra, niebla entre los valles, ultrarrealista. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Travelling aéreo lateral mostrando la muralla abrazando las cumbres, niebla moviéndose, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
128,34,8,travelling,reconstrucción,erizada de soldados,"Gran Muralla China, antigua China imperial historica. Cima de la muralla Ming repleta de soldados chinos con lanzas y estandartes hasta perderse de vista, ultrarrealista, épico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Travelling sobre la cima erizada de soldados chinos y banderas hacia el horizonte, poderío militar, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
129,35,8,plano cenital orbital,animación,contexto,"Gran Muralla China, antigua China imperial historica. Vista de la Tierra desde la órbita, curvatura del planeta, nubes, norte de China visible, estilo NASA, realista, cinematográfico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Lenta rotación de la Tierra vista desde la órbita, nubes desplazándose, sereno, realista. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
130,35,8,texto en pantalla,animación,mito,"Gran Muralla China, antigua China imperial historica. Texto ""¿Visible desde el espacio?"" sobre la Tierra orbital, tipografía elegante, cinematográfico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. El texto aparece con interrogación mientras la cámara hace zoom hacia China, intriga, elegante. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
