clip,inicio,fin,tipo,elara_id,estado,bloque,narracion,prompt
77,12:53,13:07,Imagen,,HECHO,B21 Tayma,"en el peor momento posible. Porque mientras Babilonia se enredaba en sus propias grietas religiosas, muy lejos, en el este, un nuevo poder crecía con una velocidad que hacía temblar el suelo bajo los pies","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. oasis de Tayma en el desierto de Arabia: palmeras, agua y ruinas antiguas bajo un sol intenso. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
78,13:07,13:20,Video,,HECHO,B21 Tayma,de todos los imperios de su tiempo. Hay conquistadores que ganan por la fuerza de sus ejércitos. Y hay conquistadores que ganan por la fuerza de sus ideas. Los más peligrosos de la historia,"Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. travelling sobre el oasis de Tayma con la figura del rey Nabónido supervisando la restauración de un templo antiguo, obreros, polvo dorado. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
79,13:20,13:34,Imagen,,HECHO,B21 Tayma,"son los que saben unir las dos cosas. Ciro Segundo, al que la historia llamaría Ciro el Grande, fundador del Imperio Persa, fue exactamente ese tipo de conquistador. Ciro empezó siendo el príncipe de una","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. el rey solitario contemplando el desierto desde una duna, lejos de su ciudad, atmósfera melancólica. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
80,13:34,13:48,Imagen,,HECHO,B21 Tayma,"región periférica sometida a otros. Se rebeló, y para sorpresa de todos, venció. Después conquistó el riquísimo reino de Lidia, gobernado por el legendario Creso, cuyo nombre se volvió sinónimo de riqueza. En menos","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. mapa antiguo estilizado que marca la distancia entre Babilonia y el lejano oasis de Tayma. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
81,13:48,14:02,Imagen,,HECHO,B22 Akitu,"de veinte años construyó el mayor imperio que el mundo había visto jamás, desde el mar Egeo hasta los confines de la India. Pero lo que hacía a Ciro verdaderamente distinto no era su espada.","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. la Vía Procesional vacía y silenciosa el día del Año Nuevo, sin desfile, estandartes quietos. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
82,14:02,14:16,Video,,HECHO,B22 Akitu,"Era su forma de tratar a los pueblos conquistados. En lugar de arrasar los templos de los dioses locales, los respetaba. En lugar de imponer su lengua y su cultura por la fuerza, dejaba","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. plano lento del santuario de Marduc en penumbra: la mano de la estatua dorada extendida en el vacío, sin rey que la tome, motas de polvo. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
83,14:16,14:29,Imagen,,HECHO,B22 Akitu,"que cada pueblo conservara sus tradiciones, sus sacerdotes y sus dioses, siempre que reconocieran su autoridad y pagaran sus tributos. No era pura bondad; era una estrategia política de una inteligencia asombrosa. Porque convertía","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. primer plano de la mano dorada de la estatua de Marduc sola, sin nadie que la sostenga, luz tenue. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
84,14:29,14:43,Imagen,,HECHO,B23 Belsasar,"a las élites conquistadas —a los sacerdotes, a los comerciantes— en colaboradores voluntarios del nuevo orden, en lugar de enemigos a los que aplastar uno por uno. Y cuando Ciro puso sus ojos en Babilonia,","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. Belsasar, joven regente, en el salón del trono con gesto inseguro, corona parcial, sin la autoridad plena de un rey. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
85,14:43,14:57,Video,,HECHO,B23 Belsasar,"ya había hecho su trabajo mucho antes de que un solo soldado se pusiera en marcha. Había tejido una red de simpatizantes dentro de la propia ciudad. Los sacerdotes de Marduc, furiosos con Nabónido","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. nubes de tormenta acumulándose en el horizonte oriental sobre las montañas, viento levantando polvo, presagio de un poder que se acerca. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
86,14:57,15:11,Imagen,,HECHO,B23 Belsasar,"por haber abandonado a su dios y por los años en que la gran fiesta no se celebró, empezaron a ver a Ciro no como un invasor, sino como un libertador que devolvería a Marduc","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. vista desde las murallas hacia el este, montañas lejanas bajo un cielo amenazante. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
87,15:11,15:24,Imagen,,HECHO,B24 Ciro,"su lugar. Los grandes comerciantes calculaban que, dentro del vasto imperio persa, sus rutas y sus mercados no harían más que crecer. Y tenían razón. Militarmente, Ciro fue implacable y preciso. Derrotó al ejército","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. retrato imponente de Ciro el Grande, rey persa aqueménida con tiara y manto real, mirada serena y poderosa. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
88,15:24,15:38,Video,,HECHO,B24 Ciro,babilonio en la batalla de Opis. Después tomó la ciudad de Sippar sin apenas combate. El camino hacia Babilonia quedó abierto. Y lo que ocurrió a continuación no fue exactamente una batalla. Fue algo mucho,"Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. gran plano del ejército persa aqueménida en marcha ordenada por una llanura, estandartes al viento, escala épica, ritmo imparable. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
89,15:38,15:52,Imagen,,HECHO,B24 Ciro,"más revelador sobre la naturaleza del poder, y sobre cómo una civilización puede decidir, sin apenas darse cuenta, entregarse a su propio final. Y aquí llega la verdad que lo cambia todo, la que","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. mapa antiguo iluminándose para mostrar la rápida expansión del imperio persa desde el mar Egeo hasta la India. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
90,15:52,16:06,Imagen,,HECHO,B24 Ciro,"quiero que no olvides. Antes de que un solo soldado persa pisara el interior de las murallas, Babilonia ya había sido conquistada. No con arietes, no con escaleras de asalto. Con algo mucho más difícil","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. tesoro del rey Creso de Lidia, montañas de oro y objetos preciosos, símbolo de la riqueza conquistada. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
91,16:06,16:20,Imagen,,HECHO,B25 Tolerancia,"de resistir: la deslealtad de quienes más deberían haberla defendido. La caída de Babilonia es, en su nivel más profundo, la historia de una élite que decidió que su poder y sus privilegios valían","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. Ciro el Grande ante un templo de un pueblo conquistado, respetando a sus sacerdotes locales, gesto magnánimo. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
92,16:20,16:34,Video,,HECHO,B25 Tolerancia,"más que la continuidad de la civilización que los había creado. Los sacerdotes de Marduc eran el núcleo de esa élite. Y su cambio de bando tiene una lógica difícil de negar, aunque sea difícil","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. plano medio de Ciro devolviendo una estatua sagrada a sacerdotes de otro pueblo, ellos inclinándose agradecidos, luz cálida. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
93,16:34,16:47,Imagen,,HECHO,B25 Tolerancia,"de perdonar. Durante siglos, el templo de Marduc no había sido solo el centro religioso, sino también el centro económico de Babilonia. Los sacerdotes administraban tierras inmensas, controlaban rutas comerciales, prestaban dinero, empleaban a","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. pueblos diversos con sus vestimentas y dioses conviviendo bajo el estandarte persa, mosaico cultural. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
94,16:47,17:01,Imagen,,HECHO,B26 Red,"miles de personas. Su influencia rivalizaba con la del propio rey. Y Nabónido, con su devoción a otro dios, no solo había ofendido su fe: les había arrebatado la razón misma de su poder. Así","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. mensajero discreto entregando una tablilla sellada a un sacerdote babilonio en la penumbra de un templo. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
95,17:01,17:15,Video,,HECHO,B26 Red,"que cuando Ciro les hizo llegar un mensaje —que él era el elegido de Marduc para liberar a la ciudad del rey impío—, los sacerdotes no solo lo creyeron. Lo abrazaron con entusiasmo, porque","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. plano medio de sacerdotes de Marduc leyendo en secreto un mensaje a la luz de una lámpara, miradas cómplices, intriga. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
96,17:15,17:29,Imagen,,HECHO,B26 Red,"era exactamente la historia que necesitaban para justificar lo que iban a hacer. De ese pacto nació uno de los documentos más famosos de la antigüedad: el Cilindro de Ciro. Es un cilindro de arcilla,","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. grandes comerciantes babilónicos reunidos entre ánforas y balanzas, calculando en voz baja, ambiente de conspiración mercantil. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
97,17:29,17:42,Imagen,,HECHO,B26 Red,"cubierto de escritura cuneiforme, que fue descubierto entre las ruinas de Babilonia en el año mil ochocientos setenta y nueve, y que hoy se guarda en el Museo Británico de Londres. En ese texto,","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. una balanza con plata en un platillo, símbolo del cálculo interesado de los mercaderes. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
98,17:42,17:56,Imagen,,HECHO,B27 Opis,"redactado casi con seguridad por los propios sacerdotes babilonios, se proclama que el dios Marduc buscó por todo el mundo a un rey justo, y que lo tomó de la mano y lo condujo a","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. ejércitos enfrentados a lo lejos en la llanura junto al río, polvo y estandartes, plano amplio y sobrio, sin violencia explícita. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
99,17:56,18:10,Video,,HECHO,B27 Opis,"Babilonia. Y ese rey era Ciro, que llegaba, según el relato, no como conquistador, sino como salvador. Es uno de los primeros y más brillantes ejemplos de propaganda política de la historia. Y funcionó","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. travelling sobre estandartes babilónicos caídos en el polvo tras la derrota de Opis, siluetas alejándose, tono sombrío y respetuoso. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
100,18:10,18:24,Imagen,,HECHO,B27 Opis,tan bien porque no era una mentira total. Ciro sí respetó los templos. Ciro sí permitió a los sacerdotes seguir con sus funciones. Ciro sí liberó a los pueblos deportados. Pero también es cierto que,"Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. las puertas de la ciudad de Sippar abriéndose sin combate ante el ejército persa, rendición pacífica. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
101,18:24,18:38,Imagen,,HECHO,B27 Opis,"todo eso le convenía, que la tolerancia era su arma más eficaz, y que Babilonia, al aceptar el relato de su propia liberación, estaba firmando, sin saberlo, su acta de defunción como potencia independiente.","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. camino despejado que serpentea a través de la llanura directo hacia las murallas de Babilonia. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
102,18:38,18:41,Elara,E4,HECHO,B28 Traicion,A Babilonia no la conquistaron. La entregaron.,"ELARA (subir imagen base `elara-avatar-referencia.jpg` como Ingredient; vestuario Babilonia: blusa crema, chaqueta rosa palo, pañuelo azul lapislázuli, zapatos de tacón de aguja de punta fina color nude). Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. Elara a cámara con gesto grave: 'A Babilonia no la conquistaron. La entregaron desde dentro'. Ver prompt de video rico y su línea hablada en `babilonia-elara-clips-flow.md`. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
103,18:41,18:46,Imagen,,HECHO,B28 Traicion,Y hasta ayudaron a escribir el discurso. Y así llegamos a la noche.,"Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. una llave antigua de bronce en una mano en penumbra, símbolo de la ciudad entregada. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
104,18:46,18:51,Video,,HECHO,B28 Traicion,A la noche que lo cambió todo. Cuenta la tradición que corría,"Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. primer plano lento de una puerta interior de la muralla siendo abierta desde dentro por manos anónimas, luz de antorcha. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
105,18:51,18:56,Imagen,,HECHO,B29 Poder,el mes de octubre del año quinientos treinta y nueve antes de Cristo.,"Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. el templo Esagila como centro económico: graneros llenos, campos de cultivo, sacerdotes administrando registros en tablillas. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
106,18:56,19:01,Video,,HECHO,B29 Poder,"Y mientras las tropas persas se acercaban, dentro del palacio de Babilonia,","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. travelling por almacenes del templo repletos de grano, ánforas y tesoros, escribas contando bienes, riqueza abrumadora. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
107,19:01,19:06,Imagen,,HECHO,B29 Poder,el regente Belsasar celebraba un gran banquete. La fuente más dramática sobre esa,"Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. tablillas de contabilidad del templo apiladas, sellos de arcilla, símbolo del poder de los sacerdotes. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
108,19:06,19:11,Imagen,,HECHO,B30 Mensaje,"noche es el Libro de Daniel, en la Biblia. Según ese relato, en","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. sacerdote babilonio leyendo con expresión de alivio y esperanza un mensaje que proclama a Ciro elegido de Marduc. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
109,19:11,19:16,Video,,HECHO,B30 Mensaje,"pleno festín, entre el vino y las risas, apareció de la nada","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. plano medio de sacerdotes asintiendo y elevando las manos en señal de bienvenida ante la idea de Ciro como liberador, luz esperanzadora. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
110,19:16,19:21,Imagen,,HECHO,B31 Cilindro,una mano que escribió sobre la pared del salón unas palabras en un,"Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. primer plano del Cilindro de Ciro, cilindro de arcilla cubierto de escritura cuneiforme, iluminación de museo. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
111,19:21,19:26,Video,,HECHO,B31 Cilindro,"idioma que nadie supo leer: Mene, Mene, Tekel, Ufarsin. Llamaron al profeta","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. órbita lenta alrededor del Cilindro de Ciro girando sobre un pedestal, la escritura cuneiforme recorriendo su superficie, luz dramática. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
112,19:26,19:31,Imagen,,HECHO,B31 Cilindro,Daniel para interpretarlas. Y su interpretación fue un veredicto: Dios ha contado los,"Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. manos de un escriba babilonio grabando el cilindro de arcilla con el relato de la llegada de Ciro. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
113,19:31,19:36,Imagen,,HECHO,B32 Propaganda,"días de tu reino, y le ha puesto fin. Has sido pesado en","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. escena idealizada de Ciro entrando como salvador entre una multitud que lo aclama, atmósfera de relato oficial. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
114,19:36,19:41,Video,,HECHO,B32 Propaganda,"la balanza, y hallado falto. Tu reino será dividido y entregado a","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. transición simbólica: el rostro esperanzado de la multitud que aclama a Ciro se torna pensativo al comprender lo que han entregado. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
