Orden,Tipo,N_tipo,Bloque,Movimiento,Prompt_Final,Prompt_Negativo,Narracion
90,CLIP,36,N18,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. plano de la bahía temblando con el estruendo, barcos meciéndose. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Y entonces, alrededor del mediodía, el mundo se partió en dos. La cima del Vesubio reventó"
91,IMG,55,N19,zoom-out,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. la columna en forma de pino gigante sobre la ciudad diminuta. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Los pompeyanos detuvieron lo que hacían… y se quedaron paralizados ante una columna gigantesca con forma de pino
92,IMG,56,N19,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. rostros de pompeyanos mirando al cielo, bocas abiertas. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Los pompeyanos detuvieron lo que hacían… y se quedaron paralizados ante una columna gigantesca con forma de pino
93,IMG,57,N19,paneo,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. herramientas soltadas en el suelo, gente inmóvil. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Los pompeyanos detuvieron lo que hacían… y se quedaron paralizados ante una columna gigantesca con forma de pino
94,CLIP,37,N19,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. contrapicado de la columna creciendo en el cielo sobre Pompeya, escala aterradora. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Los pompeyanos detuvieron lo que hacían… y se quedaron paralizados ante una columna gigantesca con forma de pino
95,CLIP,38,N19,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. paneo lento sobre los rostros paralizados mirando hacia arriba, terror naciente. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Los pompeyanos detuvieron lo que hacían… y se quedaron paralizados ante una columna gigantesca con forma de pino
96,IMG,58,N20,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. Plinio el Viejo (erudito romano) observando la columna desde la costa con instrumentos. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","A muchos kilómetros, Plinio el Viejo observaba con fascinación científica… sus cartas son las primeras crónicas de una erupción"
97,IMG,59,N20,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. pergaminos y estilo de escritura romano sobre una mesa. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","A muchos kilómetros, Plinio el Viejo observaba con fascinación científica… sus cartas son las primeras crónicas de una erupción"
98,IMG,60,N20,paneo,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. la flota romana en el puerto de Miseno al fondo. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","A muchos kilómetros, Plinio el Viejo observaba con fascinación científica… sus cartas son las primeras crónicas de una erupción"
99,CLIP,39,N20,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. plano de Plinio el Viejo contemplando el volcán a lo lejos, capa al viento, fascinación. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","A muchos kilómetros, Plinio el Viejo observaba con fascinación científica… sus cartas son las primeras crónicas de una erupción"
100,CLIP,40,N20,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. primer plano de una mano escribiendo en un pergamino mientras observa la catástrofe. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","A muchos kilómetros, Plinio el Viejo observaba con fascinación científica… sus cartas son las primeras crónicas de una erupción"
101,IMG,61,N21,paneo,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. Plinio dando órdenes en la cubierta de un barco romano. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Plinio hizo algo que lo convertiría en héroe y víctima: ordenó zarpar, no para huir, sino para acercarse y rescatar"
102,IMG,62,N21,zoom-out,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. galeras romanas zarpando hacia la columna de humo. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Plinio hizo algo que lo convertiría en héroe y víctima: ordenó zarpar, no para huir, sino para acercarse y rescatar"
103,IMG,63,N21,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. remeros impulsando el barco hacia el peligro. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Plinio hizo algo que lo convertiría en héroe y víctima: ordenó zarpar, no para huir, sino para acercarse y rescatar"
104,CLIP,41,N21,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. plano de la flota romana navegando hacia la catástrofe mientras otros huyen, contracorriente. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Plinio hizo algo que lo convertiría en héroe y víctima: ordenó zarpar, no para huir, sino para acercarse y rescatar"
105,CLIP,42,N21,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. contrapicado de Plinio firme en la proa, el volcán humeante al frente. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Plinio hizo algo que lo convertiría en héroe y víctima: ordenó zarpar, no para huir, sino para acercarse y rescatar"
106,IMG,64,N22,paneo,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. ceniza cayendo sobre la cubierta del barco. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Su sobrino contaría que mantenía la calma… 'la fortuna favorece a los valientes'… seguía hacia la costa para salvar a un amigo
107,IMG,65,N22,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. Plinio dictando notas con calma mientras cae ceniza. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Su sobrino contaría que mantenía la calma… 'la fortuna favorece a los valientes'… seguía hacia la costa para salvar a un amigo
108,IMG,66,N22,"fijo, leve zoom","Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. texto en pantalla ""La fortuna favorece a los valientes"". Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Su sobrino contaría que mantenía la calma… 'la fortuna favorece a los valientes'… seguía hacia la costa para salvar a un amigo
109,CLIP,43,N22,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. plano del barco avanzando entre la lluvia de ceniza, tripulación tensa, Plinio sereno. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Su sobrino contaría que mantenía la calma… 'la fortuna favorece a los valientes'… seguía hacia la costa para salvar a un amigo
110,CLIP,44,N22,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. travelling hacia la costa oscurecida a la que se dirige el barco, peligro creciente. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Su sobrino contaría que mantenía la calma… 'la fortuna favorece a los valientes'… seguía hacia la costa para salvar a un amigo
111,IMG,67,N23,paneo,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. puertas de la ciudad abiertas con familias saliendo. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Y aquí está la verdad que pocos conocen: en las primeras horas, escapar todavía era posible… quien se marchó, sobrevivió"
112,IMG,68,N23,zoom-out,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. caminos despejados alejándose de la montaña. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Y aquí está la verdad que pocos conocen: en las primeras horas, escapar todavía era posible… quien se marchó, sobrevivió"
113,IMG,69,N23,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. lluvia de piedra pómez ligera y blanca cayendo suave. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Y aquí está la verdad que pocos conocen: en las primeras horas, escapar todavía era posible… quien se marchó, sobrevivió"
114,CLIP,45,N23,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. travelling siguiendo a familias que huyen por el camino mientras cae ceniza ligera, urgencia. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Y aquí está la verdad que pocos conocen: en las primeras horas, escapar todavía era posible… quien se marchó, sobrevivió"
115,CLIP-ELARA,46,N23,video 8s,"ELARA (usar imagen base de Elara, ver guia-imagenes-base.md). Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. usar imagen base de Elara, de pie en una calle de Pompeya con ceniza cayendo suavemente a su alrededor y la gente huyendo difuminada al fondo; mira a cámara con gesto grave y dice la revelación (""en este momento, todavía podían salvarse""). Push-in lento e íntimo, la ceniza flotando, atmósfera de advertencia. (Sincronizar voz en off de Elara en edición.) Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Y aquí está la verdad que pocos conocen: en las primeras horas, escapar todavía era posible… quien se marchó, sobrevivió"
116,IMG,70,N24,paneo,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. multitud saliendo en masa por la puerta de Herculano/Pompeya. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Los arqueólogos creen que gran parte de los 20.000 logró huir… pero otros, varios miles, decidieron quedarse"
117,IMG,71,N24,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. una casa con la puerta entreabierta y alguien dudando dentro. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Los arqueólogos creen que gran parte de los 20.000 logró huir… pero otros, varios miles, decidieron quedarse"
118,IMG,72,N24,zoom-out,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. contraste: camino lleno de fugitivos vs. ciudad con gente que se queda. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Los arqueólogos creen que gran parte de los 20.000 logró huir… pero otros, varios miles, decidieron quedarse"
119,CLIP,47,N24,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. vuelo de dron sobre la masa de gente huyendo por los caminos, éxodo. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Los arqueólogos creen que gran parte de los 20.000 logró huir… pero otros, varios miles, decidieron quedarse"
120,CLIP,48,N24,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. push-in a una figura en una ventana, mirando huir a los demás, indecisa. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Los arqueólogos creen que gran parte de los 20.000 logró huir… pero otros, varios miles, decidieron quedarse"
121,IMG,73,N25,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. anciana abrazando sus pertenencias, negándose a salir. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Las razones para quedarse eran humanas: no abandonar el hogar, pensar que pasaría, ancianos que no podían caminar, dudar demasiado"
122,IMG,74,N25,paneo,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. comerciante protegiendo su tienda y su mercancía. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Las razones para quedarse eran humanas: no abandonar el hogar, pensar que pasaría, ancianos que no podían caminar, dudar demasiado"
123,IMG,75,N25,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. familia mirando por la ventana cómo cae la pómez, esperando. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Las razones para quedarse eran humanas: no abandonar el hogar, pensar que pasaría, ancianos que no podían caminar, dudar demasiado"
124,CLIP,49,N25,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. push-in lento a la anciana aferrada a su hogar, ceniza cayendo afuera, emotivo. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Las razones para quedarse eran humanas: no abandonar el hogar, pensar que pasaría, ancianos que no podían caminar, dudar demasiado"
125,CLIP,50,N25,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. plano de un hombre atrancando la puerta de su tienda en vez de huir, error trágico. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Las razones para quedarse eran humanas: no abandonar el hogar, pensar que pasaría, ancianos que no podían caminar, dudar demasiado"
126,IMG,76,N26,paneo,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. calle cubriéndose de piedra pómez blanca acumulada. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Porque la piedra pómez no dejaba de caer… medio metro, un metro, dos metros… los techos comenzaron a ceder"
127,IMG,77,N26,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. pómez acumulada hasta media puerta de una casa. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Porque la piedra pómez no dejaba de caer… medio metro, un metro, dos metros… los techos comenzaron a ceder"
128,IMG,78,N26,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. techo combándose bajo el peso, grietas. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Porque la piedra pómez no dejaba de caer… medio metro, un metro, dos metros… los techos comenzaron a ceder"
129,CLIP,51,N26,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. plano de la pómez acumulándose rápidamente en una calle, nivel subiendo. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Porque la piedra pómez no dejaba de caer… medio metro, un metro, dos metros… los techos comenzaron a ceder"
130,CLIP,52,N26,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. macro del techo crujiendo y cediendo bajo el peso, peligro inminente. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Porque la piedra pómez no dejaba de caer… medio metro, un metro, dos metros… los techos comenzaron a ceder"
131,IMG,79,N27,zoom-out,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. el sol desapareciendo tras la nube de ceniza, luz volviéndose gris. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Al caer la tarde, Pompeya ya no reconocía el cielo. El sol había desaparecido… una oscuridad total, antinatural"
132,IMG,80,N27,paneo,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. la ciudad sumida en penumbra antinatural a media tarde. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Al caer la tarde, Pompeya ya no reconocía el cielo. El sol había desaparecido… una oscuridad total, antinatural"
133,IMG,81,N27,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. la nube de ceniza tapando el cielo como un techo negro. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Al caer la tarde, Pompeya ya no reconocía el cielo. El sol había desaparecido… una oscuridad total, antinatural"
